TIME,TARGET,PACKET,CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_MIRCOSECS,LONGITUDE,LATITUDE,ALTITUDE,DEV_LAT,DEV_LON,DEV_ALT,SOLN_AGE,SATS_TRACKED,SATS_SOLN,SOLUTION_INFO,DATUM,PACKET_TIMESECONDS,PACKET_TIMEFORMATTED,RECEIVED_TIMESECONDS,RECEIVED_TIMEFORMATTED,RECEIVED_COUNT,PACKET_TIME
2023-08-12T14:08:25.061Z,GPS,GEODETIC,3121,51264,83,1691849305,14.360528439283371,174.80430603027344,-47.91230392456055,416.94036865234375,0.002587999915704131,0.0016760999569669366,0.005905999802052975,0,8,8,16410;SOL_COMPUTED,WGS84,1691849305.0616782,2023/08/12 14:08:25.061,1691894442.5733438,2023/08/13 02:40:42.573,4441,2023-08-12 14:08:25 +0000
2023-08-12T14:08:35.061Z,GPS,GEODETIC,3121,51265,83,1691849315,14.40919004380703,175.64639282226562,-47.66012191772461,416.837158203125,0.0026002000086009502,0.0016983000095933676,0.005895900074392557,0,8,8,16410;SOL_COMPUTED,WGS84,1691849315.061887,2023/08/12 14:08:35.061,1691894442.575538,2023/08/13 02:40:42.575,4442,2023-08-12 14:08:35 +0000
2023-08-12T14:08:45.061Z,GPS,GEODETIC,3121,51266,83,1691849325,14.366814866662025,176.47991943359375,-47.40119171142578,416.73040771484375,0.0025985001120716333,0.0017296000150963664,0.0058790999464690685,0,9,9,16410;SOL_COMPUTED,WGS84,1691849325.0617049,2023/08/12 14:08:45.061,1691894442.5777645,2023/08/13 02:40:42.577,4443,2023-08-12 14:08:45 +0000
2023-08-12T14:08:55.062Z,GPS,GEODETIC,3121,51267,83,1691849335,14.457618817687035,177.30482482910156,-47.13563919067383,416.6223449707031,0.0023690001107752323,0.0015310000162571669,0.005033799912780523,0,9,9,16410;SOL_COMPUTED,WGS84,1691849335.0620952,2023/08/12 14:08:55.062,1691894442.5798943,2023/08/13 02:40:42.579,4444,2023-08-12 14:08:55 +0000
2023-08-12T14:09:05.062Z,GPS,GEODETIC,3121,51268,83,1691849345,14.459015801548958,178.12106323242188,-46.863582611083984,416.5113830566406,0.002322500105947256,0.0015011000214144588,0.004860800225287676,0,9,9,16410;SOL_COMPUTED,WGS84,1691849345.062101,2023/08/12 14:09:05.062,1691894442.5818439,2023/08/13 02:40:42.581,4445,2023-08-12 14:09:05 +0000
2023-08-12T14:09:15.062Z,GPS,GEODETIC,3121,51269,83,1691849355,14.46879468858242,178.92860412597656,-46.58515167236328,416.3974914550781,0.0023066001012921333,0.0014995000092312694,0.0047750999219715595,0,9,9,16410;SOL_COMPUTED,WGS84,1691849355.062143,2023/08/12 14:09:15.062,1691894442.5838683,2023/08/13 02:40:42.583,4446,2023-08-12 14:09:15 +0000
2023-08-12T14:09:25.062Z,GPS,GEODETIC,3121,51270,83,1691849365,14.470424503087997,179.7274169921875,-46.30047607421875,416.2814636230469,0.002280100015923381,0.0014921999536454678,0.004698399920016527,0,9,9,16410;SOL_COMPUTED,WGS84,1691849365.06215,2023/08/12 14:09:25.062,1691894442.5859191,2023/08/13 02:40:42.585,4447,2023-08-12 14:09:25 +0000
2023-08-12T14:09:35.062Z,GPS,GEODETIC,3121,51271,83,1691849375,14.533055946230888,-179.4824981689453,-46.00967025756836,416.1625061035156,0.002283700043335557,0.0015150000108405948,0.0047311000525951385,0,9,9,16410;SOL_COMPUTED,WGS84,1691849375.062419,2023/08/12 14:09:35.062,1691894442.5879939,2023/08/13 02:40:42.587,4448,2023-08-12 14:09:35 +0000
2023-08-12T14:09:45.062Z,GPS,GEODETIC,3121,51272,83,1691849385,14.55657184123993,-178.70114135742188,-45.71286392211914,416.041015625,0.0022823999170213938,0.0015317000215873122,0.004720199853181839,0,9,9,16410;SOL_COMPUTED,WGS84,1691849385.06252,2023/08/12 14:09:45.062,1691894442.5899322,2023/08/13 02:40:42.589,4449,2023-08-12 14:09:45 +0000
2023-08-12T14:09:55.062Z,GPS,GEODETIC,3121,51273,83,1691849395,14.565885066986084,-177.92852783203125,-45.410179138183594,415.91668701171875,0.002275099977850914,0.0015370999462902546,0.0046616001054644585,0,9,9,16410;SOL_COMPUTED,WGS84,1691849395.06256,2023/08/12 14:09:55.062,1691894442.59203,2023/08/13 02:40:42.592,4450,2023-08-12 14:09:55 +0000
