UTC Time,Q1,Q2,Q3,Q4
2023-08-10-10:12:20.1568,0.581217210082879,-0.671591914298745, 0.361036864395352, 0.284259103459489,
2023-08-10-10:12:21.1646,0.581183401041628,-0.671847927671491, 0.361137902751567, 0.283594131874074,
2023-08-10-10:12:22.1725,0.581148679539079,-0.672104371816242, 0.361238524000374, 0.282928709100916,
2023-08-10-10:12:23.1803,0.581113044379574,-0.672361246316349, 0.361338726257158, 0.282262836750934,
2023-08-10-10:12:24.1881,0.581076494372003,-0.672618550749894, 0.361438507634233, 0.281596516446129,
2023-08-10-10:12:25.1960,0.581039028350379,-0.672876284671969, 0.361537866249418, 0.280929749808582,
2023-08-10-10:12:26.2038,0.581000645143097,-0.673134447641198, 0.361636800213254, 0.280262538477056,
2023-08-10-10:12:27.2116,0.580961343591011,-0.673393039204176, 0.361735307636554, 0.279594884097292,
2023-08-10-10:12:28.2195,0.580921122555180,-0.673652058888836, 0.361833386633592, 0.278926788317883,
2023-08-10-10:12:29.2273,0.580879980891240,-0.673911506226512, 0.361931035311551, 0.278258252804147,
2023-08-10-10:12:30.2352,0.580837960137220,-0.674171295383334, 0.362028331498597, 0.277589293268190,
2023-08-10-10:12:31.2430,0.580795155928889,-0.674431234915516, 0.362125456944978, 0.276919933649171,
2023-08-10-10:12:32.2508,0.580751426475296,-0.674691607321675, 0.362222148702518, 0.276250123341032,
2023-08-10-10:12:33.2587,0.580706770608352,-0.674952412123918, 0.362318404846872, 0.275579864008497,
2023-08-10-10:12:34.2665,0.580661187175264,-0.675213648829841, 0.362414223454999, 0.274909157322224,
2023-08-10-10:12:35.2744,0.580614675033478,-0.675475316936900, 0.362509602603114, 0.274238004961559,
2023-08-10-10:12:36.2822,0.580567233048203,-0.675737415934556, 0.362604540365704, 0.273566408615932,
2023-08-10-10:12:37.2900,0.580518860102757,-0.675999945295440, 0.362699034819707, 0.272894369979320,
2023-08-10-10:12:38.2979,0.580469555083147,-0.676262904488586, 0.362793084038326, 0.272221890758615,
2023-08-10-10:12:39.3057,0.580419316883381,-0.676526292974900, 0.362886686093201, 0.271548972670793,
2023-08-10-10:12:40.3135,0.580368201782808,-0.676789995833377, 0.362979947179122, 0.270875635384746,
2023-08-10-10:12:41.3214,0.580316277373460,-0.677053878115509, 0.363072998112828, 0.270201891898487,
2023-08-10-10:12:42.3292,0.580263415047075,-0.677318194816139, 0.363165598320667, 0.269527698623545,
2023-08-10-10:12:43.3371,0.580209613669759,-0.677582945389962, 0.363257745840071, 0.268853057280445,
2023-08-10-10:12:44.3449,0.580154872126137,-0.677848129274467, 0.363349438710959, 0.268177969594526,
2023-08-10-10:12:45.3527,0.580099189316783,-0.678113745892155, 0.363440674974709, 0.267502437297400,
2023-08-10-10:12:46.3606,0.580042564142752,-0.678379794663790, 0.363531452668099, 0.266826462135293,
2023-08-10-10:12:47.3684,0.579984995526415,-0.678646274990631, 0.363621769831504, 0.266150045857916,
2023-08-10-10:12:47.3684,0.579984995526415,-0.678646274990631, 0.363621769831504, 0.266150045857916,
2023-08-10-10:12:48.3763,0.579926482393381,-0.678913186269888, 0.363711624501834, 0.265473190228213,
2023-08-10-10:12:49.3841,0.579867023680305,-0.679180527888083, 0.363801014715628, 0.264795897018230,
2023-08-10-10:12:50.3919,0.579806690563423,-0.679448155657541, 0.363890075946869, 0.264118189413071,
2023-08-10-10:12:51.3998,0.579745522096473,-0.679715991712946, 0.363978886260630, 0.263440070177726,
2023-08-10-10:12:52.4076,0.579683403191221,-0.679984263134995, 0.364067228356699, 0.262761502488614,
2023-08-10-10:12:53.4155,0.579620332762902,-0.680252969297954, 0.364155100238966, 0.262082488119846,
2023-08-10-10:12:54.4233,0.579556309732796,-0.680522109569577, 0.364242499908907, 0.261403028857712,
2023-08-10-10:12:55.4311,0.579491333054351,-0.680791683288933, 0.364329425375572, 0.260723126486734,
2023-08-10-10:12:56.4390,0.579425401658664,-0.681061689812763, 0.364415874634813, 0.260042782818952,
2023-08-10-10:12:57.4468,0.579358514516938,-0.681332128462439, 0.364501845693116, 0.259361999660478,
2023-08-10-10:12:58.4546,0.579290670598941,-0.681602998559291, 0.364587336551801, 0.258680778833830,
